ID,Marca,Modelo,Categoria,Precio,Cantidad,Tienda
59,Asus,ZenBook 14,Empresarial,4500.00,42,Lima Centro
60,Lenovo,Yoga Slim 7,DiseÃ±o,5000.00,2,Lima Sur
61,HP,Pavilion 15,Empresarial,7600.00,3,La Molina
62,MSI,Katana GF66,EducaciÃ³n,8500.00,4,Surco
63,HP,Envy 13,EducaciÃ³n,7700.00,49,San Borja
64,HP,EliteBook 840,Empresarial,13900.00,36,San Isidro
65,Apple,MacBook Air M2,Home,2900.00,42,Miraflores
66,HP,Envy 13,DiseÃ±o,11400.00,15,Lima Centro
67,HP,Pavilion 15,Gamer,5000.00,9,San Borja
68,HP,EliteBook 840,Gamer,7100.00,16,San Isidro
69,Apple,MacBook Air M1,Empresarial,10200.00,6,Lima Norte
70,Asus,ROG Strix G15,Gamer,11800.00,44,San Borja
71,Lenovo,IdeaPad 3,Home,7500.00,31,Miraflores
72,Acer,Nitro 5,DiseÃ±o,9400.00,31,Lima Norte
73,Lenovo,IdeaPad 3,Gamer,13200.00,46,La Molina
74,Dell,XPS 13,EducaciÃ³n,10600.00,2,Miraflores
75,Apple,MacBook Air M2,Home,5600.00,47,Miraflores
76,Dell,Inspiron 15,EducaciÃ³n,6000.00,37,Lima Sur
77,Apple,MacBook Pro 14,DiseÃ±o,10500.00,28,Surco
78,MSI,GF63,EducaciÃ³n,12900.00,15,Lima Centro
79,HP,Pavilion 15,DiseÃ±o,10800.00,10,La Molina
80,Dell,Inspiron 15,Empresarial,11100.00,18,Lima Centro
81,HP,Victus 16,Gamer,13500.00,21,Lima Sur
82,Dell,Inspiron 15,DiseÃ±o,5100.00,7,Lima Este
83,HP,Victus 16,DiseÃ±o,13500.00,13,Lima Sur
84,Acer,Predator Helios 300,EducaciÃ³n,10900.00,37,Los Olivos
85,Acer,Aspire 5,DiseÃ±o,9400.00,9,Lima Sur
86,Lenovo,Legion 5,DiseÃ±o,5000.00,5,Lima Centro
87,HP,Envy 13,Home,3700.00,3,Lima Centro
88,Asus,VivoBook 15,Oficina,12200.00,30,Lima Centro
89,Acer,Aspire 5,DiseÃ±o,9000.00,42,Miraflores
90,HP,Pavilion 15,Gamer,3800.00,49,Miraflores
91,Lenovo,ThinkPad E14,Home,9100.00,13,Lima Sur
92,Apple,MacBook Air M2,DiseÃ±o,13300.00,7,Surco
93,Asus,TUF F15,DiseÃ±o,6100.00,12,Lima Centro
94,Apple,MacBook Air M2,Gamer,8700.00,26,Miraflores
95,Acer,Predator Helios 300,Gamer,10500.00,47,Surco
96,Asus,ROG Strix G15,Empresarial,13500.00,32,Lima Centro
97,Asus,TUF F15,Empresarial,11900.00,14,Los Olivos
98,MSI,GF63,Gamer,8200.00,20,San Isidro
99,Apple,MacBook Air M1,EducaciÃ³n,2500.00,29,Lima Este
100,Lenovo,Yoga Slim 7,Oficina,8900.00,30,Miraflores
101,MSI,Katana GF66,EducaciÃ³n,10200.00,7,Lima Este
102,MSI,Katana GF66,Oficina,6600.00,32,Lima Sur
103,Acer,Swift 3,Home,12900.00,13,Lima Sur
104,MSI,Katana GF66,Home,9400.00,34,San Borja
105,Acer,Swift 3,Home,7700.00,47,Lima Centro
106,Dell,G15,EducaciÃ³n,13100.00,11,Miraflores
107,Acer,Nitro 5,DiseÃ±o,14500.00,13,Lima Sur
108,MSI,Modern 14,Gamer,14200.00,16,Los Olivos
109,Acer,Predator Helios 300,DiseÃ±o,9200.00,30,Miraflores
110,Dell,Inspiron 15,Oficina,10000.00,29,Lima Sur
111,Acer,Predator Helios 300,DiseÃ±o,10600.00,24,La Molina
112,Asus,VivoBook 15,Empresarial,9100.00,5,Lima Centro
113,Apple,MacBook Pro 14,EducaciÃ³n,10800.00,19,Surco
114,Acer,Predator Helios 300,Empresarial,5600.00,43,Lima Centro
115,Asus,ZenBook 14,Gamer,14800.00,23,Los Olivos
116,Asus,ROG Strix G15,DiseÃ±o,2200.00,45,Lima Sur
117,Dell,G15,Home,4500.00,49,Surco
118,Lenovo,ThinkPad E14,EducaciÃ³n,12200.00,20,San Borja
119,Asus,ROG Strix G15,Empresarial,9700.00,46,Miraflores
120,Acer,Aspire 5,Home,9900.00,44,Los Olivos
121,Asus,TUF F15,Home,7800.00,27,San Isidro
122,HP,Envy 13,EducaciÃ³n,9400.00,28,Lima Norte
123,Lenovo,IdeaPad 3,DiseÃ±o,14100.00,7,Lima Norte
124,MSI,GF63,Oficina,4400.00,24,Lima Sur
125,Dell,Inspiron 15,EducaciÃ³n,10500.00,23,San Isidro
126,Apple,MacBook Air M1,Gamer,2300.00,3,Lima Norte
127,Lenovo,IdeaPad 3,Home,6900.00,7,San Isidro
128,Apple,MacBook Pro 14,Home,4600.00,47,Miraflores
129,MSI,Modern 14,EducaciÃ³n,3800.00,29,Surco
130,HP,EliteBook 840,Home,12700.00,5,Lima Norte
131,Apple,MacBook Air M1,Oficina,11700.00,25,Lima Este
132,Asus,ROG Strix G15,Gamer,9000.00,28,Lima Este
133,Apple,MacBook Air M1,Home,5700.00,38,San Borja
134,Asus,TUF F15,Empresarial,11900.00,18,San Isidro
135,Lenovo,IdeaPad 3,DiseÃ±o,8500.00,5,Lima Norte
136,Dell,Latitude 5420,Oficina,9700.00,6,Lima Sur
137,MSI,Modern 14,Gamer,9500.00,24,Lima Este
138,HP,Victus 16,Home,11300.00,50,Los Olivos
139,HP,Victus 16,Oficina,13800.00,15,San Isidro
140,MSI,GF63,Gamer,9000.00,42,Miraflores
141,Asus,TUF F15,Oficina,11300.00,4,Los Olivos
142,MSI,Katana GF66,DiseÃ±o,8500.00,31,Miraflores
143,Lenovo,Legion 5,Gamer,8900.00,9,Los Olivos
144,Apple,MacBook Air M1,Oficina,2600.00,4,Lima Sur
145,Acer,Swift 3,EducaciÃ³n,14900.00,44,Lima Este
146,Acer,Aspire 5,EducaciÃ³n,8000.00,46,Lima Este
147,Dell,XPS 13,Empresarial,2200.00,24,Surco
148,Lenovo,ThinkPad E14,Empresarial,8500.00,17,Los Olivos
149,Apple,MacBook Pro 14,EducaciÃ³n,6200.00,24,Lima Norte
150,Asus,VivoBook 15,EducaciÃ³n,9900.00,33,Lima Norte
151,Apple,MacBook Air M1,Gamer,5200.00,20,La Molina
152,Asus,TUF F15,Empresarial,6700.00,40,Surco
153,Lenovo,Legion 5,Gamer,13200.00,46,Lima Sur
154,MSI,Katana GF66,Gamer,3300.00,21,Lima Centro
155,MSI,Katana GF66,Empresarial,13100.00,16,Lima Centro
156,HP,Victus 16,Empresarial,6100.00,43,San Isidro
157,HP,Envy 13,Empresarial,9400.00,2,Lima Este
158,Apple,MacBook Air M2,DiseÃ±o,10200.00,25,La Molina
159,Asus,ROG Strix G15,Empresarial,11400.00,47,San Borja
160,Acer,Nitro 5,Gamer,4400.00,46,Lima Centro
161,Apple,MacBook Air M2,Empresarial,7000.00,20,Lima Sur
162,HP,Victus 16,Home,10700.00,8,Lima Norte
163,MSI,Modern 14,Oficina,11100.00,4,Miraflores
164,MSI,Modern 14,Home,13700.00,8,San Borja
165,Acer,Nitro 5,DiseÃ±o,7100.00,47,Los Olivos
166,HP,EliteBook 840,Gamer,6500.00,34,Lima Norte
167,Dell,Latitude 5420,EducaciÃ³n,3300.00,42,Surco
168,Dell,XPS 13,Empresarial,13400.00,33,Surco
169,Dell,XPS 13,Home,4900.00,29,Los Olivos
170,Lenovo,ThinkPad E14,DiseÃ±o,11700.00,37,San Borja
171,Apple,MacBook Air M1,EducaciÃ³n,5000.00,39,Lima Este
172,HP,Victus 16,DiseÃ±o,14200.00,37,Los Olivos
173,Dell,Latitude 5420,Oficina,6800.00,19,San Borja
174,HP,Envy 13,Empresarial,4900.00,11,Lima Centro
175,Acer,Swift 3,Oficina,4000.00,10,Lima Sur
176,HP,Pavilion 15,Empresarial,13200.00,31,La Molina
177,Apple,MacBook Pro 14,Oficina,5500.00,35,La Molina
178,HP,EliteBook 840,Empresarial,7400.00,41,Los Olivos
179,HP,Pavilion 15,Oficina,3900.00,23,Los Olivos
180,Acer,Swift 3,Empresarial,2200.00,2,Lima Centro
181,MSI,Modern 14,Home,6400.00,32,Lima Este
182,Dell,G15,Oficina,2700.00,30,Lima Este
183,HP,Victus 16,Oficina,9600.00,49,Surco
184,HP,Pavilion 15,EducaciÃ³n,6000.00,11,Miraflores
185,Apple,MacBook Pro 14,Empresarial,10600.00,35,Surco
186,Asus,VivoBook 15,Oficina,6500.00,22,Lima Sur
187,HP,EliteBook 840,Oficina,10000.00,49,Lima Este
188,Lenovo,ThinkPad E14,Empresarial,3100.00,22,La Molina
189,HP,Envy 13,Oficina,13200.00,39,San Isidro
190,Apple,MacBook Pro 14,DiseÃ±o,14800.00,18,Surco
191,HP,Pavilion 15,Empresarial,12200.00,27,Miraflores
192,Acer,Aspire 5,DiseÃ±o,4200.00,31,San Isidro
193,Dell,Inspiron 15,Gamer,12900.00,7,Miraflores
194,Lenovo,Yoga Slim 7,Oficina,12800.00,18,La Molina
195,Dell,Latitude 5420,Empresarial,12200.00,18,Lima Sur
196,MSI,Modern 14,Oficina,14600.00,42,San Borja
197,MSI,Katana GF66,Oficina,9900.00,42,La Molina
198,Asus,ZenBook 14,Empresarial,3600.00,4,Lima Centro
199,Dell,G15,Home,13300.00,49,Lima Este
200,Lenovo,Legion 5,Oficina,9400.00,44,Lima Norte
201,Acer,Swift 3,Empresarial,4900.00,19,Surco
202,Apple,MacBook Air M2,Empresarial,12200.00,3,Surco
203,Asus,VivoBook 15,EducaciÃ³n,5400.00,9,Lima Norte
204,Lenovo,IdeaPad 3,Home,4500.00,18,San Isidro
205,Acer,Predator Helios 300,Empresarial,5900.00,39,Surco
206,Lenovo,ThinkPad E14,EducaciÃ³n,13400.00,37,Los Olivos
207,HP,EliteBook 840,Oficina,10800.00,23,La Molina
208,Acer,Nitro 5,Empresarial,3500.00,1,Lima Sur
209,Dell,G15,EducaciÃ³n,6200.00,29,Lima Centro
210,Apple,MacBook Air M1,Oficina,10600.00,38,San Borja
211,HP,Envy 13,EducaciÃ³n,14900.00,42,Los Olivos
212,Dell,G15,Oficina,14000.00,10,Lima Sur
213,Apple,MacBook Air M2,EducaciÃ³n,13600.00,1,San Borja
214,MSI,GF63,EducaciÃ³n,4800.00,38,Surco
215,Lenovo,Legion 5,Oficina,4900.00,4,Lima Sur
216,MSI,Katana GF66,EducaciÃ³n,8500.00,22,La Molina
217,Acer,Nitro 5,EducaciÃ³n,7000.00,7,Lima Este
218,Apple,MacBook Air M2,Home,2200.00,48,Lima Este
219,Acer,Nitro 5,DiseÃ±o,4900.00,42,Lima Sur
220,Acer,Swift 3,EducaciÃ³n,3900.00,18,La Molina
221,Apple,MacBook Air M1,Oficina,4800.00,49,Lima Este
222,Lenovo,Legion 5,DiseÃ±o,3800.00,39,Lima Sur
223,Apple,MacBook Air M1,DiseÃ±o,13500.00,18,Lima Sur
224,Asus,TUF F15,Home,7100.00,41,Lima Norte
225,HP,Pavilion 15,Gamer,11900.00,49,Lima Sur
226,MSI,GF63,EducaciÃ³n,2300.00,18,San Borja
227,Dell,G15,Empresarial,8700.00,20,Miraflores
228,MSI,Modern 14,Oficina,7100.00,42,La Molina
229,Lenovo,Yoga Slim 7,Gamer,11700.00,23,San Borja
230,Dell,XPS 13,EducaciÃ³n,5400.00,48,San Borja
231,Acer,Swift 3,Home,8300.00,24,Lima Este
232,HP,Pavilion 15,Empresarial,9500.00,45,San Borja
233,Lenovo,IdeaPad 3,Oficina,9100.00,22,Lima Norte
234,Dell,Inspiron 15,EducaciÃ³n,6700.00,28,Lima Centro
235,HP,Envy 13,Oficina,5000.00,28,Lima Centro
236,Lenovo,Legion 5,Gamer,13300.00,26,Lima Norte
237,MSI,Modern 14,Empresarial,9700.00,31,Lima Este
238,Dell,G15,DiseÃ±o,6000.00,30,Surco
239,Acer,Swift 3,Home,7800.00,30,Surco
240,Asus,ROG Strix G15,Gamer,11000.00,21,Lima Sur
241,Apple,MacBook Air M2,Home,2900.00,28,Lima Norte
242,Asus,ZenBook 14,DiseÃ±o,6000.00,12,Miraflores
243,MSI,GF63,Home,7100.00,4,San Borja
244,Dell,Inspiron 15,EducaciÃ³n,2100.00,29,Lima Este
245,Acer,Predator Helios 300,Gamer,8900.00,31,San Isidro
246,Acer,Nitro 5,Gamer,2000.00,26,La Molina
247,Lenovo,Yoga Slim 7,Home,7900.00,40,La Molina
248,Asus,ROG Strix G15,DiseÃ±o,6200.00,15,Miraflores
249,HP,Pavilion 15,Empresarial,11400.00,18,La Molina
250,Lenovo,Legion 5,Gamer,2200.00,24,Lima Centro
251,Acer,Swift 3,Empresarial,3300.00,14,Lima Norte
252,Lenovo,Yoga Slim 7,Oficina,11300.00,7,Miraflores
253,Acer,Aspire 5,EducaciÃ³n,13200.00,6,Lima Sur
254,Apple,MacBook Air M2,Oficina,2600.00,32,Lima Este
255,Apple,MacBook Air M1,Home,8600.00,19,San Borja
256,Lenovo,Legion 5,EducaciÃ³n,12100.00,24,San Isidro
257,Apple,MacBook Air M1,Gamer,2300.00,24,Lima Sur
258,Lenovo,ThinkPad E14,Empresarial,9900.00,38,Lima Norte
259,Apple,MacBook Air M2,Oficina,8700.00,20,Miraflores
260,MSI,Modern 14,Oficina,2500.00,11,La Molina
261,MSI,Modern 14,Empresarial,14200.00,27,Lima Norte
262,Asus,VivoBook 15,Gamer,14000.00,37,Miraflores
263,Apple,MacBook Pro 14,DiseÃ±o,11800.00,33,San Borja
264,MSI,Modern 14,DiseÃ±o,2600.00,50,Miraflores
265,Asus,ZenBook 14,Empresarial,2300.00,33,San Borja
266,Apple,MacBook Air M1,Empresarial,10600.00,10,San Borja
267,Dell,G15,EducaciÃ³n,4800.00,5,Surco
268,Lenovo,ThinkPad E14,EducaciÃ³n,10300.00,5,La Molina
269,MSI,Modern 14,Home,9200.00,6,Lima Centro
270,Apple,MacBook Air M1,Empresarial,5500.00,3,San Isidro
271,Lenovo,Yoga Slim 7,EducaciÃ³n,11200.00,13,San Borja
272,Dell,Inspiron 15,Home,11500.00,39,San Borja
273,MSI,GF63,Oficina,13600.00,31,San Isidro
274,Acer,Nitro 5,DiseÃ±o,11300.00,12,Lima Este
275,MSI,Modern 14,EducaciÃ³n,8100.00,4,Surco
276,Acer,Aspire 5,DiseÃ±o,13300.00,47,Lima Sur
277,Lenovo,Yoga Slim 7,DiseÃ±o,4000.00,25,San Borja
278,Dell,XPS 13,Empresarial,5400.00,23,Lima Este
279,Dell,Latitude 5420,Home,11400.00,16,La Molina
280,Dell,Inspiron 15,Empresarial,3900.00,34,Lima Centro
281,Dell,Inspiron 15,EducaciÃ³n,2400.00,29,La Molina
282,Lenovo,Yoga Slim 7,Home,7800.00,2,Lima Sur
283,Lenovo,Legion 5,Oficina,12500.00,7,Lima Sur
284,Asus,VivoBook 15,DiseÃ±o,13800.00,45,Miraflores
285,Acer,Nitro 5,EducaciÃ³n,2600.00,27,San Isidro
286,HP,Victus 16,Empresarial,14700.00,17,La Molina
287,Apple,MacBook Pro 14,Oficina,7400.00,2,Lima Este
288,Asus,TUF F15,Oficina,14200.00,19,Surco
289,Asus,ROG Strix G15,Empresarial,9300.00,40,La Molina
290,MSI,GF63,Home,9400.00,21,Miraflores
291,Acer,Nitro 5,DiseÃ±o,2400.00,15,Surco
292,HP,Victus 16,Home,4900.00,37,Lima Este
293,MSI,Katana GF66,Empresarial,3900.00,41,Surco
294,MSI,Katana GF66,Home,14200.00,38,Lima Norte
295,Apple,MacBook Pro 14,Gamer,13900.00,19,San Isidro
296,HP,Victus 16,Empresarial,11700.00,24,La Molina
297,Dell,G15,Home,9700.00,28,San Borja
298,MSI,Modern 14,Home,12100.00,41,Lima Norte
299,Acer,Predator Helios 300,DiseÃ±o,4400.00,48,Surco
300,Lenovo,IdeaPad 3,DiseÃ±o,6600.00,30,Miraflores
301,Dell,XPS 13,Gamer,7400.00,36,Surco
302,Asus,VivoBook 15,DiseÃ±o,12700.00,25,Surco
303,Asus,ROG Strix G15,Oficina,9000.00,35,Lima Norte
304,Acer,Swift 3,EducaciÃ³n,8900.00,17,Miraflores
305,Lenovo,Yoga Slim 7,Gamer,5100.00,41,Surco
306,Dell,Inspiron 15,Home,7400.00,32,Lima Norte
307,MSI,Modern 14,DiseÃ±o,2800.00,33,Surco
308,Acer,Swift 3,Gamer,14400.00,46,San Borja
309,MSI,Katana GF66,Empresarial,7100.00,15,San Borja
310,Asus,ZenBook 14,Gamer,2500.00,29,San Borja
311,HP,Victus 16,Home,4000.00,4,Lima Norte
312,HP,EliteBook 840,Home,3400.00,8,La Molina
313,HP,Victus 16,Empresarial,2900.00,32,San Isidro
314,Apple,MacBook Pro 14,Gamer,7200.00,24,Miraflores
315,Lenovo,Yoga Slim 7,DiseÃ±o,10500.00,50,San Isidro
316,Acer,Swift 3,Gamer,9300.00,39,Miraflores
317,MSI,GF63,Gamer,15000.00,22,San Isidro
318,Asus,TUF F15,Empresarial,3800.00,27,San Borja
319,MSI,Katana GF66,Home,8700.00,29,San Isidro
320,Dell,XPS 13,Gamer,8300.00,34,Lima Centro
321,Apple,MacBook Air M1,Home,8400.00,11,Surco
322,Apple,MacBook Pro 14,Empresarial,5600.00,22,San Borja
323,Apple,MacBook Pro 14,Home,7700.00,31,Los Olivos
324,Apple,MacBook Air M2,DiseÃ±o,5400.00,13,Lima Este
325,Apple,MacBook Air M1,Empresarial,12500.00,27,Lima Centro
326,MSI,Modern 14,DiseÃ±o,11800.00,34,Miraflores
327,Dell,XPS 13,Empresarial,11500.00,45,San Isidro
328,HP,Pavilion 15,DiseÃ±o,5700.00,50,San Borja
329,Lenovo,ThinkPad E14,EducaciÃ³n,5400.00,48,Los Olivos
330,Acer,Predator Helios 300,Home,3300.00,33,Lima Norte
331,Apple,MacBook Air M1,Oficina,3600.00,16,San Borja
332,Acer,Predator Helios 300,Oficina,9800.00,43,Miraflores
333,HP,Envy 13,EducaciÃ³n,13500.00,27,San Isidro
334,HP,Envy 13,Gamer,2100.00,2,Los Olivos
335,MSI,Modern 14,Home,11500.00,49,Los Olivos
336,Dell,XPS 13,Gamer,3500.00,21,Los Olivos
337,Dell,G15,EducaciÃ³n,9600.00,40,San Borja
338,Acer,Swift 3,Home,14500.00,47,Lima Centro
339,Asus,TUF F15,Empresarial,2600.00,16,San Isidro
340,HP,Envy 13,EducaciÃ³n,4600.00,6,Surco
341,Lenovo,IdeaPad 3,Oficina,10200.00,47,Lima Norte
342,Acer,Swift 3,DiseÃ±o,6300.00,44,La Molina
343,Apple,MacBook Air M1,Gamer,6200.00,29,San Borja
344,Lenovo,Legion 5,Home,10200.00,45,Lima Este
345,Apple,MacBook Air M2,Home,10500.00,30,San Borja
346,HP,Pavilion 15,Home,13400.00,16,Lima Este
347,Apple,MacBook Air M1,Home,13800.00,6,La Molina
348,Acer,Nitro 5,Oficina,10500.00,1,La Molina
349,Asus,VivoBook 15,Empresarial,5900.00,36,La Molina
350,Acer,Aspire 5,Oficina,14100.00,41,Lima Este
351,Lenovo,IdeaPad 3,DiseÃ±o,14600.00,26,Lima Centro
352,Dell,XPS 13,Empresarial,3700.00,23,Surco
353,Lenovo,Yoga Slim 7,Home,4500.00,35,Miraflores
354,MSI,Katana GF66,Empresarial,4800.00,6,Miraflores
355,Apple,MacBook Air M1,Gamer,2400.00,21,Lima Sur
356,Apple,MacBook Air M2,DiseÃ±o,5600.00,4,Lima Este
357,Apple,MacBook Pro 14,Oficina,8700.00,21,San Isidro
358,Acer,Aspire 5,Oficina,14900.00,49,La Molina
359,MSI,Katana GF66,EducaciÃ³n,13800.00,10,Lima Norte
360,Apple,MacBook Air M1,Oficina,4100.00,30,San Isidro
361,Lenovo,IdeaPad 3,Empresarial,11800.00,20,Los Olivos
362,Lenovo,Yoga Slim 7,Oficina,8900.00,44,Surco
363,Acer,Swift 3,Gamer,6800.00,1,Lima Este
364,Apple,MacBook Air M1,DiseÃ±o,13500.00,4,Lima Este
365,Lenovo,IdeaPad 3,Gamer,12300.00,36,Lima Centro
366,Asus,VivoBook 15,DiseÃ±o,7900.00,4,La Molina
367,MSI,Modern 14,Gamer,6500.00,28,San Isidro
368,MSI,Modern 14,Home,11400.00,9,Lima Centro
369,Apple,MacBook Air M2,Oficina,9500.00,31,Lima Sur
370,Asus,ZenBook 14,Home,8400.00,7,Los Olivos
371,Apple,MacBook Air M1,EducaciÃ³n,8200.00,46,Lima Este
372,Apple,MacBook Air M1,Empresarial,10400.00,30,Lima Norte
373,Dell,G15,Home,7700.00,35,Lima Centro
374,Dell,Latitude 5420,DiseÃ±o,10400.00,28,Lima Centro
375,Dell,XPS 13,DiseÃ±o,7000.00,50,Surco
376,HP,Pavilion 15,Empresarial,3600.00,28,San Borja
377,HP,Pavilion 15,DiseÃ±o,3500.00,19,La Molina
378,Dell,XPS 13,Empresarial,10300.00,22,Lima Centro
379,Lenovo,IdeaPad 3,Gamer,3600.00,4,Lima Este
380,Dell,G15,Gamer,10800.00,15,Miraflores
381,HP,Victus 16,Home,14300.00,31,Lima Centro
382,MSI,GF63,Empresarial,8400.00,28,San Borja
383,Acer,Nitro 5,Home,6700.00,22,Lima Este
384,Dell,Inspiron 15,EducaciÃ³n,2100.00,10,Lima Este
385,Apple,MacBook Air M2,EducaciÃ³n,14500.00,22,Lima Sur
386,Lenovo,IdeaPad 3,Empresarial,11100.00,50,Lima Norte
387,Lenovo,Legion 5,Home,2100.00,26,Lima Este
388,Lenovo,ThinkPad E14,DiseÃ±o,9300.00,5,Lima Norte
389,Acer,Predator Helios 300,Empresarial,10800.00,15,Lima Este
390,HP,Envy 13,EducaciÃ³n,9100.00,25,San Borja
391,Lenovo,Yoga Slim 7,EducaciÃ³n,13300.00,22,Lima Este
392,HP,Victus 16,Gamer,3100.00,38,Surco
393,Lenovo,Legion 5,Oficina,12300.00,10,San Isidro
394,Acer,Predator Helios 300,Oficina,6300.00,42,Lima Sur
395,HP,EliteBook 840,Oficina,4400.00,50,San Isidro
396,Asus,TUF F15,Home,12100.00,37,Miraflores
397,Asus,ROG Strix G15,Gamer,8500.00,35,Los Olivos
398,Acer,Aspire 5,Oficina,2300.00,31,Lima Este
399,Dell,Latitude 5420,Oficina,10500.00,5,Surco
400,Acer,Predator Helios 300,Home,5400.00,3,Lima Centro
401,Lenovo,ThinkPad E14,Empresarial,14200.00,42,Surco
402,Dell,XPS 13,DiseÃ±o,6800.00,34,Miraflores
403,Lenovo,Legion 5,EducaciÃ³n,4500.00,25,Lima Este
404,Apple,MacBook Air M1,EducaciÃ³n,7500.00,36,Lima Este
405,Acer,Predator Helios 300,DiseÃ±o,4500.00,14,Surco
406,HP,Victus 16,Oficina,12000.00,19,Lima Sur
407,Lenovo,ThinkPad E14,EducaciÃ³n,14700.00,31,San Borja
408,Acer,Swift 3,Empresarial,10700.00,17,San Isidro
409,HP,Victus 16,Gamer,5900.00,31,Lima Sur
410,Asus,ZenBook 14,Home,11500.00,16,Lima Sur
411,MSI,Katana GF66,Empresarial,4600.00,18,Lima Este
412,Dell,Inspiron 15,Home,6500.00,21,San Borja
413,Lenovo,Legion 5,Gamer,6500.00,50,Lima Centro
414,MSI,GF63,Home,6000.00,8,Lima Centro
415,Dell,G15,Gamer,3500.00,16,Lima Sur
416,HP,EliteBook 840,EducaciÃ³n,11300.00,41,Los Olivos
417,Dell,G15,Gamer,9600.00,49,San Borja
418,Apple,MacBook Air M1,Home,8900.00,49,La Molina
419,MSI,Modern 14,DiseÃ±o,6200.00,40,Lima Sur
420,HP,Victus 16,EducaciÃ³n,4400.00,50,Miraflores
421,HP,Pavilion 15,Home,13100.00,30,Los Olivos
422,HP,Victus 16,DiseÃ±o,9600.00,35,San Borja
423,Acer,Swift 3,Gamer,9400.00,2,Lima Centro
